word,sentence,passage
queen ant,The queen ant rules the colony.,I go to the zoo. I see so many interesting animals.
rabbit,The rabbit hopped away.,The wind blows the leaves. They rustle and dance.
soccer,I played soccer.,I tell jokes and laugh. Humor makes me feel happy.
train,The train went choo choo.,The water splashes in the pool. It feels refreshing.
umbrella,I used my umbrella.,I paint a picture. My artwork is very creative.
vase,I put flowers in a vase.,The train rushes by. It travels fast on the tracks.
whale,The whale swam in the ocean.,I play on the playground. The slides and swings are fun.
yacht,I sailed on a yacht.,The clouds turn gray. Rain begins to fall.
yoyo,I played with a yoyo.,I bake cookies with my mom. They are warm and delicious.
zebra,The zebra has black and white stripes.,The puppy chews on a toy. It has a lot of energy.
apple pie,I ate a piece of apple pie.,I go for a walk outside. The fresh air is invigorating.
butterfly,A butterfly flew by.,The fire burns brightly. It keeps me cozy and warm.
cookie,I ate a cookie.,I read a storybook. The characters are interesting.
dinosaur,I saw a dinosaur in the museum.,The kite soars high. It dances in the wind.
eagle,The eagle soared high.,I play with blocks. I build tall towers.
fish,I caught a fish.,The flower petals fall. They scatter on the ground.
giraffe,The giraffe has a long neck.,I clean up my toys. Everything is in its place.
happiness,I felt happy.,The waves crash on the shore. The ocean is powerful.
ice cream cone,I licked an ice cream cone.,I go to the park. I slide down the slides.
jellybean,I ate a jellybean.,The bird chirps sweetly. It lands on the tree branch.
kiwi,I sliced a kiwi.,I eat a healthy lunch. Fruits and veggies give me energy.
ladybug,I saw a ladybug.,I ride in the car. We go to the store.
mushroom,I found a mushroom.,I cleaned my room. Now it looks nice and tidy.
nurse,The nurse helped the patient.,The moon is bright. It shines in the night sky.
ocean,I swam in the ocean.,My friend is funny. We laugh and tell jokes together.
penguin,The penguin waddled on the ice.,The sky is blue. There are fluffy white clouds.
queen bee,The queen bee led the hive.,I brushed my teeth. They feel clean and sparkly.
rainbow,I saw a rainbow in the sky.,The fire truck is red. It has a loud siren.
sun,The sun shines bright.,I watched a movie. It had an exciting ending.
teddy bear,I hugged my teddy bear.,The flower smells sweet. Its petals are soft.
unicorn,I saw a unicorn in my dream.,I went to the park. I played on the swings.
violin,I played the violin.,That building is tall. It has many windows.
watermelon,I ate a slice of watermelon.,Snow is white. I make a snowman in the winter.
